,lat,long,max_temp,humidity,wind_speed,clouds,country,dt,is_south
gushikawa,26.3544,127.8686,70.83,72,4.6292139500000005,34,Japan,1635184942,0
punta arenas,-53.15,-70.9167,42.82,70,7.35081893,40,Chile,1635184753,1
west wendover,40.7391,-114.0733,60.94,50,2.97015338,100,United States of America,1635184887,0
cape town,-33.9258,18.4232,68.34,63,0.8326371400000001,13,South Africa,1635184933,1
busselton,-33.65,115.3333,41.04,71,1.21788716,73,Australia,1635184942,1
ngunguru,-35.6167,174.5,60.17,87,1.1184678000000001,100,New Zealand,1635184859,1
umm kaddadah,13.6017,26.6876,88.63,17,3.39268566,37,Sudan,1635184943,0
mataura,-46.1927,168.8643,50.47,97,0.73943149,98,New Zealand,1635184943,1
severo-kurilsk,50.6789,156.125,38.84,83,2.87694773,21,Russian Federation,1635184943,0
buckeye,33.3703,-112.5838,85.69,39,2.87694773,0,United States of America,1635184943,0
kavieng,-2.5744,150.7967,81.16,76,1.16196377,12,Papua New Guinea,1635184894,1
anadyr,64.75,177.4833,-12.26,96,2.55383481,81,Russian Federation,1635184944,0
hervey bay,-25.2986,152.8535,71.04,90,2.21829447,100,Australia,1635184944,1
nicoya,10.1483,-85.452,84.04,76,0.47224196,19,Costa Rica,1635184944,0
irituia,-1.7711,-47.4381,91.29,50,1.44158072,72,Brazil,1635184945,1
becerril,9.7041,-73.2793,88.74,64,1.0811855400000001,28,Colombia,1635184945,0
comodoro rivadavia,-45.8667,-67.5,62.2,25,6.816439870000001,46,Argentina,1635184801,1
puerto ayora,-0.7393,-90.3518,68.56,94,0.8326371400000001,59,Ecuador,1635184945,1
kutum,14.2,24.6667,79.54,18,3.4610364700000003,82,Sudan,1635184946,0
balikpapan,-1.2675,116.8289,75.34,91,1.0625444099999999,72,Indonesia,1635184946,1
katsuura,35.1333,140.3,59.02,96,7.84170202,100,Japan,1635184946,0
faanui,-16.4833,-151.75,78.8,76,1.60313718,98,French Polynesia,1635184947,1
porbandar,21.6422,69.6093,78.66,54,3.03229048,1,India,1635184947,0
gat,31.61,34.7642,70.81,100,2.06295172,1,Israel,1635184803,0
georgetown,5.4112,100.3354,81.9,86,0.0,20,Malaysia,1635184819,0
oranjemund,-28.55,16.4333,61.7,73,3.11306871,42,Namibia,1635184753,1
ilinskiy,55.619,38.1182,36.18,69,1.242742,0,Russian Federation,1635184947,0
nara,34.6851,135.8049,60.08,85,0.39146373,78,Japan,1635184720,0
port elizabeth,-33.918,25.5701,64.09,80,4.7037784700000005,1,South Africa,1635184948,1
berdigestyakh,62.0989,126.6992,32.29,99,1.03147586,100,Russian Federation,1635184948,0
atuona,-9.8,-139.0333,77.25,77,4.37445184,68,French Polynesia,1635184948,1
klaksvik,62.2266,-6.589,43.72,80,3.6039518,94,Faroe Islands,1635184809,0
rikitea,-23.1203,-134.9692,74.62,73,5.530201900000001,100,French Polynesia,1635184722,1
hermanus,-34.4187,19.2345,61.81,76,4.38066555,70,South Africa,1635184949,1
lebu,-37.6167,-73.65,57.43,73,3.5045324399999997,26,Chile,1635184949,1
kapaa,22.0752,-159.319,74.19,99,3.6163792200000002,43,United States of America,1635184949,0
vila franca do campo,37.7167,-25.4333,70.21,71,0.8077823000000001,81,Portugal,1635184950,0
bredasdorp,-34.5322,20.0403,61.92,77,3.19384694,56,South Africa,1635184731,1
bluff,-46.6,168.3333,51.31,93,1.96974607,91,New Zealand,1635184950,1
sambava,-14.2667,50.1667,75.34,80,2.7775283699999997,20,Madagascar,1635184950,1
barrow,71.2906,-156.7887,24.85,92,3.57288325,100,United States of America,1635184775,0
gejiu,23.306,103.1635,50.05,97,1.0811855400000001,77,China,1635184951,0
jamestown,42.097,-79.2353,69.12,65,2.49791142,75,United States of America,1635184951,0
thompson,55.7435,-97.8558,33.96,93,0.64001213,75,Canada,1635184776,0
yermish,54.7678,42.2711,30.06,78,1.96974607,80,Russian Federation,1635184951,0
winnemucca,40.973,-117.7357,41.05,93,2.87694773,90,United States of America,1635184952,0
krasnoselkup,65.7,82.4667,15.19,93,2.72160498,97,Russian Federation,1635184952,0
vaini,-21.2,-175.2,74.25,69,3.77793568,10,Tonga,1635184952,1
ushuaia,-54.8,-68.3,37.22,75,5.60476642,85,Argentina,1635184953,1
saint-philippe,-21.3585,55.7679,74.79,83,4.19425425,32,Réunion,1635184954,1
lubao,14.9167,120.55,77.14,85,0.83885085,85,Philippines,1635184728,0
charters towers,-20.1,146.2667,70.39,85,2.69675014,98,Australia,1635184954,1
tuatapere,-46.1333,167.6833,51.71,97,0.38525002,74,New Zealand,1635184954,1
cap malheureux,-19.9842,57.6142,74.46,70,1.9448912299999999,24,Mauritius,1635184955,1
torbay,47.6666,-52.7314,43.57,87,5.75389546,90,Canada,1635184727,0
bengkulu,-3.8004,102.2655,74.82,91,1.05011699,100,Indonesia,1635184955,1
zhumadian,32.9794,114.0294,55.65,72,1.01283473,86,China,1635184827,0
carnarvon,-24.8667,113.6333,64.02,57,4.05133892,79,Australia,1635184955,1
upernavik,72.7868,-56.1549,14.83,63,1.6217783099999998,19,Greenland,1635184956,0
likasi,-10.9814,26.7333,68.29,74,0.96312505,99,"Congo, Democratic Republic of the",1635184956,1
zhigansk,66.7697,123.3711,21.47,96,2.37363722,100,Russian Federation,1635184956,0
albany,42.6001,-73.9662,64.58,91,1.2613831299999998,100,United States of America,1635184666,0
